id,supplier_code,supplier_stock_level,supplier_backorder_eta,MSKU,ASIN,UPC,MPN,supplier_map_price,adjusted_supplier_unit_price,supplier_unit_price,supplier_pack_size,supplier_sold_by_increments,supplier_case_size,supplier_notes,supplier_item_description,supplier_unit_shipping_weight_in_pounds,supplier_status_code,misc1,misc2,misc3,misc4,misc5,supplier_sku,supplier_upcharge_pct,supplier_backorder_qty,brand,MSRP,updated_at,supplier_id,uploaded_at,case_upc,category_code,shelf_life
678248,ID1,22,NULL,NULL,NULL,00363736200459,NULL,NULL,7.7,23.1,1,3,72,100CT,"Anacin Tablets 100ct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,132,NULL,NULL,Anacin,12.39,"2020-03-11 12:26:34.626921",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678249,ID1,24,NULL,NULL,NULL,00363736200350,NULL,NULL,4.73,14.190000000000001,1,3,36,50S,"Anacin Tablets 50ct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,140,NULL,NULL,Anacin,7.59,"2020-03-11 12:26:34.626996",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678250,ID1,1850,NULL,NULL,NULL,00312843131057,NULL,NULL,2.32,2.32,1,1,36,36S,"BAYER ASPIRIN ORANGE 36S",NULL,NULL,NULL,NULL,NULL,NULL,NULL,256,NULL,NULL,Bayer,3.79,"2020-03-11 12:26:34.627063",30,"2020-04-30 15:04:56.140122",NULL,NULL,NULL
678251,ID1,423,NULL,NULL,NULL,00016500040194,NULL,NULL,2.52,2.52,1,1,48,12CT,"Alka Seltzer Original Antacid & Pain Relief Medicine",NULL,NULL,NULL,NULL,NULL,NULL,NULL,442,NULL,NULL,"Alka Seltzer",3.99,"2020-03-11 12:26:34.627128",30,"2020-04-30 15:04:56.140122",NULL,NULL,NULL
678252,ID1,24,NULL,NULL,NULL,00301490039908,NULL,NULL,4.75,14.25,1,3,24,24S,"Pepto-Bismol Upset Stomach Reliever",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2119,NULL,NULL,"Pepto Bismol",7.69,"2020-03-11 12:26:34.627192",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678253,ID1,24,NULL,NULL,NULL,00301490039915,NULL,NULL,6.96,20.88,1,3,24,40S,"Pepto Bismol Caplets 40 40S",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2127,NULL,NULL,"Pepto Bismol",11.19,"2020-03-11 12:26:34.627256",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678254,ID1,24,NULL,NULL,NULL,00071662040246,NULL,NULL,3.4,10.2,1,3,36,24S,"Crayola Colored Pencils 24CT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2135,NULL,NULL,Crayola,6.99,"2020-03-11 12:26:34.627320",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678255,ID1,0,NULL,NULL,NULL,00307660739661,NULL,NULL,4.44,13.32,1,3,24,96S,"Tums Extra Strength Assorted Fruit Antacid with Calcium",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2208,NULL,NULL,NULL,7.19,"2020-03-11 12:26:34.627383",30,"2020-06-22 03:51:19.085215",NULL,NULL,NULL
678256,ID1,69,NULL,NULL,NULL,00010119430193,NULL,NULL,0.95,2.8499999999999996,1,3,12,1CT,"Bausch & Lomb Sight Savers Eye Glass Repair Kit 1ct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2240,NULL,NULL,"Bausch & Lomb",1.59,"2020-03-11 12:26:34.627447",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678257,ID1,24,NULL,NULL,NULL,00037000728283,NULL,NULL,2.55,7.6499999999999995,1,3,24,8.2Z,"Crest Tartar Protection Tartar Control Toothpaste Cool Mint Paste 8.2 ounce",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2283,NULL,NULL,Crest,4.09,"2020-03-11 12:26:34.627514",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678258,ID1,451,NULL,NULL,NULL,00312843353022,NULL,NULL,4.33,4.33,1,1,12,12Z,"Phillips Milk of Magnesia Laxative & Antacid in Original Flavor",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2720,NULL,NULL,Phillips,6.69,"2020-03-11 12:26:34.627578",30,"2020-04-30 15:04:56.140122",NULL,NULL,NULL
678259,ID1,384,NULL,NULL,NULL,00026000003643,NULL,NULL,1.39,4.17,1,3,24,4Z,"Elmers Glue Gel",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2755,NULL,NULL,Elmer's,2.49,"2020-03-11 12:26:34.627642",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678260,ID1,117,NULL,NULL,NULL,00301490039045,NULL,NULL,2.72,8.16,1,3,12,4Z,"Pepto Bismol Liquid 4oz",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2860,NULL,NULL,"Pepto Bismol",4.39,"2020-03-11 12:26:34.627707",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678261,ID1,0,NULL,NULL,NULL,00307660740629,NULL,NULL,1.56,18.72,1,12,72,36CT,"Tums Peppermint 3-pk Antacid with Calcium 36ct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2968,NULL,NULL,Tums,2.59,"2020-03-11 12:26:34.627771",30,"2020-06-22 03:51:19.085215",NULL,NULL,NULL
678262,ID1,20,NULL,NULL,NULL,00072076132008,NULL,NULL,0.69,2.07,1,3,144,EA,"CITRUS PEELER",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3298,NULL,NULL,Compac,1.99,"2020-03-11 12:26:34.627835",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678263,ID1,430,NULL,NULL,NULL,00071964008142,NULL,NULL,2.49,7.470000000000001,1,3,144,EA,"IRON BOTTOM CLNR STICK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3328,NULL,NULL,"Cadie Products",4.99,"2020-03-11 12:26:34.627898",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678264,ID1,24,NULL,NULL,NULL,00301490039083,NULL,NULL,4.24,12.72,1,3,6,8Z,"Pepto-Bismol Original Liquid",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3387,NULL,NULL,"Pepto Bismol",6.89,"2020-03-11 12:26:34.627962",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678265,ID1,379,NULL,NULL,NULL,00305212352009,NULL,NULL,3.04,9.120000000000001,1,3,36,7.5Z,"Vaseline 100% Pure Petroleum Jelly",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3735,NULL,NULL,NULL,4.89,"2020-03-11 12:26:34.628026",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
678266,ID1,1026,NULL,NULL,NULL,00305212326000,NULL,NULL,1.96,5.88,1,3,72,3.75Z,"Vaseline 100% Pure Petroleum Jelly 3.75oz",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3778,NULL,NULL,NULL,3.19,"2020-03-11 12:26:34.628090",30,"2020-07-20 10:24:10.817839",NULL,NULL,NULL
